0,1,2,3,4,5,6
-0.89101,-0.62271,0.38776,1,1,1,1
1.0809,0.057861,0.0033479,1,2,1,1
-1.4798,1.6837,2.8349,1,2,1,1
1.0005,0.47963,0.23005,2,1,1,1
-0.41415,-1.2002,1.4405,2,2,1,2
-1.7066,0.057738,0.0033336,1,1,1,1
1.8566,-1.3052,1.7036,2,1,1,2
-0.1556,-0.51899,0.26935,2,2,1,2
0.63868,-1.3592,1.8474,2,2,1,1
0.29988,-0.25743,0.066268,2,1,1,1
0.20012,-0.83354,0.6948,2,1,1,2
-0.87707,0.79221,0.6276,1,2,1,2
0.92674,2.2081,4.8758,1,1,1,2
-3.6212,0.89723,0.80502,1,2,1,2
0.60584,-0.93796,0.87977,2,2,1,1
0.25682,0.21567,0.046514,2,1,1,1
0.77349,-0.46474,0.21598,2,1,1,2
0.99934,-0.57103,0.32607,2,2,1,2
-0.26091,0.11103,0.012328,2,1,1,2
-0.21737,0.058205,0.0033878,1,2,1,2
0.10851,-0.51875,0.2691,2,2,1,2
0.26189,-1.5151,2.2956,2,1,1,1
-1.2498,-1.0959,1.201,2,1,1,1
0.76182,2.7843,7.7525,1,1,1,2
1.7204,-0.51727,0.26756,2,2,1,2
-0.80915,-0.67434,0.45473,1,2,1,1
-0.68745,-0.30934,0.095694,1,2,1,1
0.075716,0.63527,0.40357,1,1,1,1
-0.30253,-0.78095,0.60989,2,2,1,2
-1.0971,0.79156,0.62657,1,1,1,1
-0.25937,2.8896,8.35,1,2,1,2
-1.1795,1.4739,2.1724,1,1,1,1
-1.3567,-1.1994,1.4385,2,2,1,1
-1.9988,0.84434,0.71291,2,1,1,1
3.8801,2.4176,5.8446,1,1,1,2
0.50637,-0.25634,0.06571,2,2,1,1
-0.42185,0.42536,0.18093,1,2,1,2
0.5692,-0.93552,0.87521,2,1,1,1
2.0639,-0.57069,0.32568,1,1,1,2
-1.1771,-0.62325,0.38844,1,2,1,2
-1.4069,-1.2001,1.4402,2,1,1,1
0.67892,-0.046121,0.0021271,2,2,1,1
0.86552,-0.36197,0.13102,1,1,1,1
-1.4679,-0.93848,0.88075,2,1,1,1
0.79654,3.362,11.303,1,1,1,1
-0.016774,1.4204,2.0177,1,1,1,2
-1.2599,1.2113,1.4673,1,2,1,2
1.4237,5.4589,29.799,1,1,1,2
1.1587,-0.57045,0.32541,1,2,1,1
-2.8462,1.4744,2.1737,1,1,1,2
1.4439,0.10989,0.012075,2,1,1,2
-0.87373,-0.30791,0.094809,1,2,1,1
-0.34421,-0.46449,0.21575,2,2,1,1
-1.0606,0.1538,0.023654,2,2,1,2
0.048027,2.4178,5.8457,2,1,1,1
-0.61685,0.37248,0.13874,1,1,1,1
-0.028605,0.059375,0.0035253,1,2,1,2
0.28452,-0.51851,0.26886,2,2,1,2
-2.2298,-0.25636,0.065718,2,2,1,2
-0.46009,1.1592,1.3436,1,1,1,1
0.5003,2.6269,6.9004,1,1,1,2
-0.485,-0.99061,0.98132,2,2,1,2
-0.50707,1.5265,2.3302,1,1,1,1
0.032037,1.5786,2.4918,1,1,1,1
-0.79364,0.53022,0.28113,1,2,1,1
-0.40962,-0.51778,0.2681,2,1,1,2
1.3865,-0.67664,0.45784,2,2,1,2
-0.85051,-0.51916,0.26953,2,2,1,2
-0.64094,1.369,1.874,1,2,1,2
-1.5355,0.8962,0.80317,1,2,1,2
0.92474,-0.72864,0.53091,1,1,1,1
0.097395,-0.20404,0.041633,2,2,1,1
-0.35216,-0.67615,0.45718,1,2,1,2
-0.88389,0.056818,0.0032283,2,1,1,2
0.23466,-1.0428,1.0874,1,2,1,1
-1.0819,-0.098776,0.0097567,2,1,1,1
0.57036,-1.1476,1.317,2,2,1,2
0.014221,-1.2529,1.5698,2,2,1,1
-0.32179,1.3174,1.7354,1,1,1,1
-0.27296,-0.20413,0.041669,1,1,1,1
0.039912,-1.2537,1.5717,2,1,1,2
-0.036466,-0.10001,0.010002,1,1,1,1
0.32006,0.16361,0.026769,1,1,1,2
-1.2383,1.0023,1.0047,2,1,1,1
-0.70627,-1.6188,2.6206,2,1,1,2
-1.9286,-1.0956,1.2003,2,1,1,1
-1.7885,-0.35808,0.12822,2,2,1,1
-0.022451,0.94992,0.90236,1,2,1,2
-1.3692,-0.15035,0.022605,1,2,1,2
0.22408,-1.2002,1.4406,2,2,1,1
-3.2854,2.2607,5.111,1,1,1,2
1.5348,1.8407,3.3882,2,1,1,1
0.47241,0.1102,0.012143,2,2,1,2
-0.46517,-0.46544,0.21663,1,1,1,1
-0.65668,-1.0951,1.1992,2,1,1,2
1.2253,-0.46655,0.21767,1,2,1,1
0.51093,-1.2531,1.5703,1,2,1,2
0.040392,-0.25449,0.064768,1,1,1,1
