0,1,2,3,4,5,6
0.003153,-0.62271,0.38776,1,1,1,1
-0.87111,0.057861,0.0033479,1,2,1,1
0.29361,1.6837,2.8349,1,2,1,1
0.13168,0.057738,0.0033336,1,1,1,1
-0.60376,-1.3592,1.8474,2,2,1,1
-0.66642,-0.25743,0.066268,2,1,1,1
-0.60896,-0.93796,0.87977,2,2,1,1
0.68386,0.21567,0.046514,2,1,1,1
-2.5112,-1.5151,2.2956,2,1,1,1
-3.3303,-0.67434,0.45473,1,2,1,1
-2.6704,-0.30934,0.095694,1,2,1,1
0.22699,0.63527,0.40357,1,1,1,1
-0.86909,0.79156,0.62657,1,1,1,1
1.7177,1.4739,2.1724,1,1,1,1
-0.79001,-1.1994,1.4385,2,2,1,1
0.18308,0.84434,0.71291,2,1,1,1
-1.4049,-0.25634,0.06571,2,2,1,1
-2.0231,-0.93552,0.87521,2,1,1,1
-3.4724,-1.2001,1.4402,2,1,1,1
0.99941,-0.046121,0.0021271,2,2,1,1
-1.328,-0.36197,0.13102,1,1,1,1
-2.9798,-0.93848,0.88075,2,1,1,1
1.8287,3.362,11.303,1,1,1,1
0.051983,-0.57045,0.32541,1,2,1,1
0.31638,-0.30791,0.094809,1,2,1,1
-1.1774,-0.46449,0.21575,2,2,1,1
-0.84674,0.37248,0.13874,1,1,1,1
-3.14,1.1592,1.3436,1,1,1,1
-1.8846,1.5265,2.3302,1,1,1,1
0.59281,1.5786,2.4918,1,1,1,1
-3.2551,0.53022,0.28113,1,2,1,1
0.050426,-0.72864,0.53091,1,1,1,1
1.5366,-0.20404,0.041633,2,2,1,1
1.2535,-1.0428,1.0874,1,2,1,1
-1.0364,-0.098776,0.0097567,2,1,1,1
-1.0417,-1.2529,1.5698,2,2,1,1
0.68078,1.3174,1.7354,1,1,1,1
1.342,-0.20413,0.041669,1,1,1,1
0.3397,-0.10001,0.010002,1,1,1,1
0.91233,1.0023,1.0047,2,1,1,1
0.46361,-1.0956,1.2003,2,1,1,1
0.083499,-0.35808,0.12822,2,2,1,1
-0.10555,-1.2002,1.4406,2,2,1,1
-1.3607,1.8407,3.3882,2,1,1,1
-3.5759,-0.46544,0.21663,1,1,1,1
0.57333,-0.46655,0.21767,1,2,1,1
-1.7757,-0.25449,0.064768,1,1,1,1
-1.4352,-0.15029,0.022586,2,2,1,1
-1.4123,-0.51806,0.26839,2,2,1,1
-0.86567,0.16301,0.026573,1,1,1,1
-1.418,-1.2525,1.5688,1,2,1,1
0.65844,1.1595,1.3444,1,2,1,1
1.8093,-0.20358,0.041444,2,2,1,1
0.075784,-0.78041,0.60905,2,1,1,1
-3.9895,-0.88581,0.78466,1,2,1,1
-0.98243,-1.0956,1.2003,1,1,1,1
1.0535,-0.67537,0.45613,2,2,1,1
-2.1362,-0.25511,0.065083,1,2,1,1
1.5517,0.53068,0.28162,1,1,1,1
-1.0639,-0.30829,0.095045,2,1,1,1
-2.2671,1.3165,1.7332,1,1,1,1
-0.44058,2.0507,4.2053,1,1,1,1
-2.0224,-0.78071,0.60951,2,1,1,1
1.4307,-1.1997,1.4392,2,1,1,1
1.4026,-0.51792,0.26824,2,1,1,1
-1.1194,0.057988,0.0033626,2,1,1,1
2.6595,-0.67603,0.45702,2,2,1,1
0.84269,0.52978,0.28066,1,1,1,1
-0.34936,-0.62325,0.38844,2,2,1,1
-0.52463,-0.62367,0.38897,2,2,1,1
-0.099827,1.4211,2.0195,1,1,1,1
-0.059592,-0.51849,0.26883,1,2,1,1
0.51805,-1.2006,1.4413,1,2,1,1
-0.58962,-1.2526,1.5689,2,1,1,1
0.96695,0.163,0.026569,1,1,1,1
0.8163,-0.25618,0.065627,1,2,1,1
-2.2606,-0.93739,0.87869,1,2,1,1
-2.7168,-1.1996,1.4389,2,2,1,1
-0.63398,-0.25692,0.06601,1,1,1,1
-2.5793,-0.57082,0.32584,2,2,1,1
-0.42403,-0.57166,0.32679,2,2,1,1
-3.1002,-0.30853,0.09519,1,2,1,1
-2.1301,-1.2523,1.5683,1,2,1,1
1.106,-0.097791,0.009563,2,1,1,1
-0.66791,0.11041,0.01219,2,1,1,1
-2.3283,-0.62403,0.38941,1,1,1,1
-0.25252,-0.15144,0.022935,1,2,1,1
