1,2,3,4,5,6,7,8
4.6556,4.8603,5.545,4.8725,4.4676,5.6551,5.2386,5.4239
4.663,4.398,4.5707,4.5904,4.3278,4.8898,4.4016,4.598
9.0509,9.5243,9.9917,9.3393,8.7416,8.948,9.4275,8.5938
5.1617,5.5992,5.4483,5.0363,5.1274,5.57,5.3001,5.3329
5.0837,4.9803,5.5673,5.4446,5.7707,6.0121,5.2433,5.2607
7.6718,7.0477,6.7964,7.5037,6.7856,6.7651,7.2978,6.7443
2.8381,3.8924,3.4066,3.6298,3.3663,4.1591,3.7533,3.3619
3.5093,3.1132,3.8274,3.574,3.2599,3.6082,4.3019,3.7247
5.9675,6.044,6.5674,5.6006,6.7319,6.3851,6.0862,6.2781
3.5541,2.9805,2.7905,3.2346,2.8578,3.1706,3.5138,2.9868
5.8997,6.1041,5.7357,6.2134,5.4815,6.428,5.3334,6.0309
4.6548,4.9914,5.0597,4.4986,4.4517,3.9944,4.414,4.0187
3.0958,3.2016,2.8455,3.2529,3.2395,3.0362,2.8178,3.3797
5.27,5.6541,5.8409,5.3201,5.2925,6.0201,5.0122,5.4163
3.4846,3.4163,3.1944,3.7744,3.5984,3.7158,3.8526,3.8466
6.5453,6.2412,5.4628,7.1895,6.0719,7.1533,6.544,5.9114
