1,2,3,4,5,6,7,8
0.089028,-0.26002,0,0,-0.61674,-0.28905,0,0
-0.066597,0.06311,-0.011126,-0.12964,-0.019007,0.19736,-1.5712,0.1393
-0.24205,-0.22123,-0.29771,0.023973,-0.39716,-0.25104,-0.63048,0
-0.43104,0.073209,-0.14561,-0.020671,0.06233,-0.38926,-0.26493,-0.50669
-0.14634,-0.40153,-0.087987,-0.27443,-0.74093,-0.57314,-0.63379,-0.85211
-0.15093,-0.50178,-0.022582,-0.23502,-0.18995,-0.28777,-0.17754,-0.23282
-0.25325,-0.58475,-0.042806,0.10538,-0.43315,-0.65985,-0.49921,0
0.029345,-0.26277,0,0.032845,0.037184,-0.48519,0.18968,-0.21499
-0.29454,-0.096568,-0.1751,-0.20658,-0.33027,-0.2845,0.13925,-0.091886
-0.70088,-0.38031,-0.27348,-0.14125,-0.053906,-0.06387,-0.28573,-0.10357
-0.52562,-0.17558,-0.72744,-0.63219,-0.53119,-0.45791,-0.92372,0.090108
-0.40336,-0.14395,-0.15254,0,-0.011082,-0.22662,0.36866,0.049161
-0.1662,-0.55281,0.10561,-0.23679,-0.33506,-0.57284,0.061049,-0.25526
-0.22829,-0.50506,0.2263,-0.38069,-0.67098,-0.46751,0,-0.92209
-0.53386,-0.21335,0,0,-0.4112,-0.17238,0,-0.049702
-0.57829,-0.14223,-0.43898,-0.78029,-0.15243,-0.078458,-0.7899,-0.15369
